# F I1 B1 I2 B2
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.928972418843056591e-01 2.899999999999999800e-01 1.849369665363345962e-05 3.599999999999999867e-01 2.295769239761394882e-05
5.827222842713545292e-01 6.199999999999999956e-01 3.953824801811291694e-05 7.199999999999999734e-01 4.591538479522789764e-05
8.665094112549946992e-01 9.200000000000000400e-01 5.866965834945787937e-05 1.050000000000000044e+00 6.695993615970735158e-05
1.141498216409037259e+00 1.199999999999999956e+00 7.652564132537983618e-05 1.439999999999999947e+00 9.183076959045579528e-05
1.405218042999672345e+00 1.500000000000000000e+00 9.565705165672479184e-05 1.780000000000000027e+00 1.135130346326467486e-04
1.655553000689814480e+00 1.800000000000000044e+00 1.147884619880697610e-04 2.149999999999999911e+00 1.371084407079722206e-04
1.890784675640391210e+00 2.149999999999999911e+00 1.371084407079722206e-04 2.540000000000000036e+00 1.619792741387206237e-04
2.109611919307344596e+00 2.459999999999999964e+00 1.568775647170286554e-04 2.950000000000000178e+00 1.881255349248920933e-04
