# depth[mm]	Amp[V]	HF [V]	TGC [dB]
25.6	0.009	0.001	8.976
25.8	0.009	0.009	8.976
25.9	0.010	0.001	8.976
26.0	0.012	-0.007	9.134
26.2	0.016	-0.015	9.134
26.3	0.018	-0.007	9.134
26.4	0.017	0.001	9.134
26.6	0.013	0.009	9.134
26.7	0.011	0.009	9.291
26.8	0.011	0.001	9.291
27.0	0.015	-0.015	9.291
27.1	0.021	-0.015	9.291
27.2	0.024	0.009	9.291
27.4	0.023	0.016	9.291
27.5	0.019	0.001	9.291
27.6	0.015	-0.015	9.449
27.8	0.013	0.001	9.449
27.9	0.014	0.009	9.449
28.0	0.016	0.001	9.606
28.2	0.016	-0.015	9.606
28.3	0.014	0.001	9.606
28.4	0.010	0.001	9.606
28.6	0.006	0.001	9.606
28.7	0.006	0.001	9.606
28.8	0.008	0.001	9.606
29.0	0.011	-0.007	9.764
29.1	0.013	-0.007	9.764
29.2	0.013	0.001	9.921
29.4	0.011	0.001	9.921
29.5	0.009	0.001	9.921
29.6	0.011	0.009	9.921
29.8	0.015	-0.007	9.921
29.9	0.018	-0.015	9.921
30.0	0.018	0.001	10.079
30.2	0.015	0.009	9.921
30.3	0.010	0.001	9.921
30.4	0.007	0.001	10.079
30.6	0.008	0.001	10.079
30.7	0.010	-0.007	10.079
30.8	0.013	0.001	10.236
31.0	0.013	0.001	10.236
31.1	0.011	0.001	10.236
31.2	0.009	0.001	10.236
31.4	0.010	0.001	10.236
31.5	0.012	0.001	10.394
31.6	0.014	-0.007	10.394
31.8	0.014	-0.007	10.394
31.9	0.014	0.001	10.394
32.0	0.013	0.001	10.394
32.2	0.013	0.001	10.394
32.3	0.014	0.001	10.394
32.4	0.014	0.009	10.551
32.6	0.013	0.001	10.551
32.7	0.012	0.001	10.551
32.8	0.014	0.001	10.709
33.0	0.017	-0.007	10.709
33.1	0.021	-0.015	10.709
33.2	0.023	0.009	10.709
33.4	0.021	0.009	10.709
33.5	0.018	0.001	10.709
33.6	0.016	-0.007	10.709
33.8	0.017	0.001	10.709
33.9	0.019	0.001	10.866
34.0	0.020	0.001	10.866
34.2	0.019	0.009	10.866
34.3	0.018	0.009	11.024
34.4	0.018	-0.007	11.024
34.6	0.020	-0.007	11.024
34.7	0.023	0.001	11.024
34.8	0.023	0.009	11.181
35.0	0.021	0.001	11.181
35.1	0.018	-0.007	11.024
35.2	0.018	0.001	11.181
35.4	0.021	0.001	11.181
35.5	0.026	-0.007	11.181
35.6	0.027	0.001	11.181
35.8	0.025	0.009	11.339
35.9	0.023	0.009	11.339
36.0	0.025	0.001	11.339
36.2	0.029	-0.007	11.339
36.3	0.031	0.001	11.339
36.4	0.028	0.001	11.496
36.6	0.022	0.009	11.496
36.7	0.020	0.001	11.339
36.8	0.026	-0.007	11.496
37.0	0.037	0.001	11.496
37.1	0.042	0.009	11.496
37.2	0.037	-0.007	11.654
37.4	0.026	-0.015	11.654
37.5	0.024	0.001	11.654
37.6	0.037	0.009	11.811
37.8	0.054	-0.007	11.654
37.9	0.058	-0.007	11.811
38.0	0.041	0.001	11.811
38.2	0.020	0.009	11.811
38.3	0.021	0.001	11.811
38.4	0.052	-0.007	11.811
38.6	0.086	-0.007	11.969
38.7	0.082	0.001	11.969
38.8	0.032	0.001	11.969
39.0	0.005	-0.007	11.969
39.1	0.069	-0.054	11.969
39.2	0.322	-0.212	12.126
39.4	0.721	0.032	12.126
39.5	1.133	1.001	12.126
39.6	1.404	1.001	12.126
39.8	1.458	-1.007	12.283
39.9	1.353	-1.007	12.283
40.0	1.225	0.536	12.126
40.2	1.193	1.001	12.126
40.3	1.272	1.001	12.283
