# depth[mm]	Amp[V]	HF [V]	TGC [dB]
112.7	0.002	0.001	0.157
112.8	0.002	0.001	0.157
112.9	0.002	0.001	0.157
113.1	0.002	0.001	0.157
113.2	0.002	0.001	0.157
113.3	0.002	0.001	0.315
113.5	0.002	0.001	0.157
113.6	0.002	0.001	0.157
113.7	0.002	0.001	0.157
113.9	0.003	0.001	0.157
114.0	0.003	0.001	0.157
114.1	0.003	0.001	0.315
114.3	0.003	0.001	0.157
114.4	0.003	0.001	0.157
114.5	0.003	0.001	0.157
114.7	0.003	0.001	0.157
114.8	0.003	0.001	0.157
114.9	0.003	0.001	0.157
115.1	0.003	0.001	0.157
115.2	0.003	0.001	0.157
115.3	0.003	0.001	0.157
115.5	0.003	0.001	0.157
115.6	0.003	0.001	0.157
115.7	0.003	0.001	0.157
115.9	0.003	0.001	0.157
116.0	0.003	0.001	0.157
116.1	0.003	0.001	0.315
116.3	0.003	0.001	0.157
116.4	0.003	0.001	0.157
116.5	0.003	0.001	0.157
116.7	0.003	0.001	0.157
116.8	0.003	0.001	0.157
116.9	0.003	0.001	0.315
117.1	0.003	0.001	0.157
117.2	0.004	0.001	0.157
117.3	0.005	0.001	0.157
117.5	0.005	0.001	0.157
117.6	0.006	-0.007	0.157
117.7	0.007	0.001	0.157
117.9	0.009	0.009	0.157
118.0	0.011	0.009	0.157
118.1	0.012	0.001	0.157
118.3	0.011	-0.007	0.157
118.4	0.009	-0.007	0.157
118.5	0.006	-0.007	0.157
118.7	0.005	0.001	0.157
118.8	0.005	0.001	0.157
118.9	0.006	0.009	0.157
119.1	0.007	0.001	0.157
119.2	0.006	0.001	0.157
119.3	0.005	0.001	0.157
119.5	0.004	0.001	0.157
119.6	0.004	0.001	0.157
119.7	0.004	0.001	0.315
119.9	0.004	0.001	0.157
120.0	0.004	0.001	0.157
120.1	0.004	0.001	0.157
120.3	0.004	0.001	0.157
120.4	0.004	0.001	0.157
120.6	0.004	0.001	0.157
120.7	0.004	0.001	0.157
120.8	0.004	0.001	0.315
121.0	0.004	0.001	0.157
121.1	0.004	0.001	0.157
121.2	0.004	0.001	0.157
121.4	0.005	0.001	0.315
121.5	0.005	0.001	0.315
121.6	0.004	0.001	0.157
121.8	0.004	0.001	0.315
121.9	0.004	0.001	0.157
122.0	0.005	0.001	0.157
122.2	0.005	0.001	0.157
122.3	0.005	0.001	0.157
122.4	0.005	0.001	0.157
122.6	0.004	0.001	0.157
122.7	0.005	0.001	0.157
122.8	0.006	0.001	0.157
123.0	0.007	0.001	0.157
123.1	0.008	0.001	0.157
123.2	0.007	-0.007	0.157
123.4	0.005	0.001	0.157
123.5	0.004	0.001	0.157
123.6	0.003	0.001	0.157
123.8	0.004	0.001	0.157
123.9	0.005	0.001	0.157
124.0	0.005	0.001	0.157
124.2	0.005	0.001	0.315
124.3	0.005	0.001	0.157
124.4	0.005	0.001	0.157
124.6	0.005	0.001	0.157
124.7	0.005	0.001	0.315
124.8	0.005	0.001	0.157
125.0	0.005	0.001	0.157
125.1	0.005	0.001	0.157
125.2	0.005	0.001	0.157
125.4	0.005	0.001	0.315
125.5	0.006	0.001	0.315
125.6	0.006	0.001	0.157
125.8	0.006	0.001	0.315
125.9	0.006	0.001	0.157
126.0	0.006	0.001	0.157
126.2	0.006	0.001	0.315
126.3	0.006	0.001	0.157
126.4	0.006	0.001	0.157
126.6	0.006	0.001	0.157
126.7	0.006	0.001	0.157
126.8	0.006	0.001	0.157
127.0	0.007	0.001	0.315
127.1	0.007	0.001	0.157
127.2	0.007	0.001	0.157
127.4	0.007	0.001	0.157
127.5	0.007	0.001	0.157
127.6	0.007	0.001	0.157
127.8	0.007	0.001	0.315
127.9	0.007	0.001	0.157
128.0	0.007	0.001	0.157
128.2	0.007	0.001	0.157
128.3	0.008	0.001	0.157
128.4	0.008	0.001	0.157
128.6	0.008	0.001	0.315
128.7	0.008	0.001	0.157
128.8	0.008	0.001	0.157
129.0	0.008	0.001	0.157
129.1	0.008	0.001	0.157
129.2	0.009	0.001	0.157
129.4	0.009	0.001	0.157
129.5	0.009	0.001	0.157
129.6	0.009	0.001	0.157
129.8	0.009	0.001	0.157
129.9	0.009	0.001	0.157
130.0	0.010	0.001	0.157
130.2	0.010	0.001	0.157
130.3	0.010	0.001	0.157
130.4	0.010	0.001	0.315
130.6	0.010	0.001	0.157
130.7	0.011	0.001	0.157
130.8	0.011	0.001	0.157
131.0	0.011	0.001	0.157
131.1	0.011	0.001	0.315
131.2	0.011	0.001	0.157
131.4	0.012	0.001	0.157
131.5	0.012	0.001	0.157
131.6	0.012	0.001	0.157
131.8	0.012	0.001	0.157
131.9	0.013	0.001	0.157
132.0	0.013	0.001	0.157
132.2	0.014	0.001	0.157
132.3	0.014	0.001	0.157
132.4	0.015	0.001	0.157
132.6	0.015	0.001	0.315
132.7	0.015	0.001	0.157
132.8	0.016	0.001	0.157
133.0	0.017	0.001	0.157
133.1	0.018	0.001	0.157
133.2	0.018	0.001	0.157
133.4	0.017	0.001	0.157
