# time [�s]	Amp[V]	HF [V]	TGC [dB]
94.3	0.006	0.001	0.157
94.4	0.006	0.001	0.157
94.5	0.006	0.001	0.315
94.6	0.006	0.001	0.315
94.7	0.006	0.001	0.157
94.8	0.006	0.001	0.157
94.9	0.006	0.001	0.157
95.0	0.006	0.001	0.157
95.1	0.007	0.001	0.315
95.2	0.007	0.001	0.157
95.3	0.007	0.001	0.157
95.4	0.007	0.001	0.157
95.5	0.007	0.001	0.157
95.6	0.007	0.001	0.157
95.7	0.007	0.001	0.315
95.8	0.007	0.001	0.157
95.9	0.007	0.001	0.157
96.0	0.008	0.001	0.157
96.1	0.008	0.001	0.157
96.2	0.008	0.001	0.157
96.3	0.008	0.001	0.157
96.4	0.008	0.001	0.315
96.5	0.008	0.001	0.157
96.6	0.008	0.001	0.157
96.7	0.008	0.001	0.157
96.8	0.009	0.001	0.157
96.9	0.009	0.001	0.157
97.0	0.009	0.001	0.157
97.1	0.009	0.001	0.157
97.2	0.009	0.001	0.157
97.3	0.009	0.001	0.157
97.4	0.010	0.001	0.157
97.5	0.010	0.001	0.157
97.6	0.010	0.001	0.157
97.7	0.010	0.001	0.157
97.8	0.010	0.001	0.157
97.9	0.011	0.001	0.157
98.0	0.011	0.001	0.157
98.1	0.011	0.001	0.157
98.2	0.011	0.001	0.157
98.3	0.011	0.001	0.157
98.4	0.012	0.001	0.315
98.5	0.012	0.001	0.157
98.6	0.012	0.001	0.157
98.7	0.012	0.001	0.157
98.8	0.013	0.001	0.157
98.9	0.013	0.001	0.157
99.0	0.014	0.001	0.157
99.1	0.014	0.001	0.157
99.2	0.015	0.001	0.157
99.3	0.015	0.001	0.315
99.4	0.015	0.001	0.157
99.5	0.016	0.001	0.157
99.6	0.017	0.001	0.315
99.7	0.018	0.001	0.157
99.8	0.018	0.001	0.157
99.9	0.017	0.001	0.157
