# depth[mm]	Amp[V]	HF [V]	TGC [dB]
0.0	0.464	0.005	0.157
0.1	0.715	0.013	0.315
0.3	0.978	0.981	0.000
0.4	1.208	-0.924	-0.157
0.5	1.364	-1.011	0.315
0.7	1.419	-1.011	0.472
0.8	1.374	0.533	0.315
1.0	1.269	0.997	0.157
1.1	1.178	0.997	0.000
1.2	1.167	-1.011	0.157
1.4	1.249	0.997	0.157
1.5	1.360	0.997	0.157
1.6	1.409	0.918	0.157
1.8	1.352	-1.011	0.157
1.9	1.235	-1.011	0.157
2.0	1.159	-0.444	0.000
2.2	1.194	0.997	0.000
2.3	1.313	0.997	0.157
2.5	1.416	0.966	0.157
2.6	1.425	-1.011	0.157
2.7	1.352	-1.011	0.000
2.9	1.282	0.714	0.000
3.0	1.282	0.997	0.000
3.1	1.325	0.800	0.157
3.3	1.312	-1.011	0.157
3.4	1.162	-1.011	0.157
3.5	0.910	-0.672	0.157
3.7	0.686	-0.412	0.000
3.8	0.619	-0.066	0.157
4.0	0.725	0.296	0.157
4.1	0.895	0.863	0.157
4.2	0.983	0.808	0.157
4.4	0.919	0.037	0.157
4.5	0.752	-0.656	0.157
4.6	0.596	-0.452	0.157
4.8	0.527	0.210	0.157
4.9	0.533	0.548	0.157
5.0	0.541	0.296	0.157
5.2	0.494	-0.168	0.157
5.3	0.397	-0.373	0.157
5.5	0.304	-0.208	0.157
5.6	0.263	0.139	0.157
5.7	0.270	0.273	0.000
5.9	0.283	0.115	0.157
6.0	0.260	-0.113	0.157
6.1	0.200	-0.200	0.157
6.3	0.140	-0.089	0.157
6.4	0.121	0.044	0.157
6.5	0.152	0.147	0.157
6.7	0.203	0.139	0.157
6.8	0.238	-0.034	0.157
7.0	0.237	-0.215	0.157
7.1	0.215	-0.192	0.157
7.2	0.204	-0.003	0.157
7.4	0.219	0.155	0.157
7.5	0.250	0.241	0.157
7.6	0.270	0.092	0.157
7.8	0.262	-0.184	0.157
7.9	0.231	-0.215	0.157
8.0	0.202	-0.011	0.157
8.2	0.194	0.170	0.157
8.3	0.207	0.178	0.157
8.5	0.220	0.044	0.157
8.6	0.215	-0.152	0.000
8.7	0.186	-0.184	0.157
8.9	0.150	-0.050	0.157
9.0	0.127	0.068	0.157
9.1	0.125	0.123	0.000
9.3	0.134	0.084	0.157
9.4	0.134	-0.042	0.157
9.5	0.117	-0.113	0.157
9.7	0.090	-0.058	0.157
9.8	0.069	0.021	0.157
10.0	0.062	0.060	0.000
10.1	0.068	0.044	0.157
10.2	0.075	-0.019	0.000
10.4	0.075	-0.066	0.157
10.5	0.069	-0.058	0.157
10.6	0.064	-0.011	0.157
10.8	0.064	0.044	0.000
10.9	0.067	0.068	0.157
11.1	0.065	0.005	0.000
11.2	0.055	-0.042	0.157
11.3	0.042	-0.026	0.157
11.5	0.032	0.013	0.157
11.6	0.032	0.029	0.157
11.7	0.036	0.013	0.000
11.9	0.040	-0.019	0.000
12.0	0.036	-0.026	0.157
12.1	0.028	-0.019	0.157
12.3	0.021	-0.011	0.157
12.4	0.018	0.005	0.000
12.6	0.020	0.021	0.157
12.7	0.022	0.013	0.000
12.8	0.022	-0.003	0.000
13.0	0.020	-0.003	0.157
13.1	0.018	0.005	0.157
13.2	0.017	-0.003	0.157
13.4	0.019	-0.011	0.157
13.5	0.023	-0.019	0.157
13.6	0.028	-0.019	0.157
13.8	0.031	-0.019	0.157
13.9	0.033	0.021	0.157
14.1	0.030	0.029	0.000
14.2	0.026	0.005	0.157
14.3	0.025	-0.003	0.157
14.5	0.036	-0.003	0.157
14.6	0.061	-0.066	0.157
14.7	0.098	-0.011	0.157
14.9	0.137	0.131	0.157
15.0	0.173	0.013	0.157
15.1	0.204	-0.208	0.000
15.3	0.235	0.005	0.000
15.4	0.271	0.265	0.157
15.6	0.304	-0.042	0.157
15.7	0.319	-0.318	0.157
15.8	0.301	0.005	0.157
16.0	0.248	0.249	0.157
16.1	0.178	0.068	0.000
16.2	0.120	-0.066	0.157
16.4	0.098	-0.074	0.157
16.5	0.113	-0.121	0.157
16.6	0.147	-0.034	0.157
16.8	0.173	0.147	0.000
16.9	0.171	0.115	0.000
17.1	0.142	-0.066	0.157
17.2	0.102	-0.105	0.157
17.3	0.071	-0.034	0.000
17.5	0.061	0.029	0.157
17.6	0.067	0.060	0.000
17.7	0.078	0.052	0.157
17.9	0.081	-0.034	-0.157
18.0	0.073	-0.074	-0.157
18.1	0.058	-0.026	-0.157
18.3	0.041	0.021	-0.157
18.4	0.029	0.029	-0.157
18.6	0.025	0.013	0.000
18.7	0.028	-0.019	0.157
18.8	0.039	-0.026	0.157
19.0	0.051	0.029	0.157
19.1	0.062	0.052	0.157
19.2	0.067	-0.026	0.157
19.4	0.067	-0.066	0.157
19.5	0.062	-0.042	0.157
19.6	0.058	0.013	0.157
19.8	0.057	0.052	0.157
19.9	0.058	0.044	0.157
20.1	0.059	-0.011	0.157
20.2	0.059	-0.058	0.157
20.3	0.056	-0.034	0.157
20.5	0.054	0.021	0.157
20.6	0.052	0.052	0.157
20.7	0.054	0.005	0.157
20.9	0.065	-0.066	0.157
21.0	0.088	-0.034	0.157
21.1	0.129	0.100	0.157
21.3	0.189	0.147	0.157
21.4	0.262	-0.089	0.157
21.6	0.341	-0.341	0.157
21.7	0.412	-0.184	0.157
21.8	0.467	0.289	0.157
22.0	0.506	0.509	0.157
22.1	0.540	0.194	0.157
22.2	0.592	-0.255	0.157
22.4	0.687	-0.625	0.315
22.5	0.832	-0.751	0.315
22.6	1.004	0.076	0.157
22.8	1.153	0.997	0.157
22.9	1.221	0.887	0.157
23.1	1.175	-0.562	0.315
23.2	1.029	-1.011	0.315
23.3	0.840	-0.404	0.157
23.5	0.678	0.257	0.157
23.6	0.588	0.556	0.315
23.7	0.561	0.485	0.315
23.9	0.551	-0.003	0.315
24.0	0.509	-0.452	0.315
24.1	0.416	-0.318	0.315
24.3	0.296	0.068	0.315
24.4	0.192	0.178	0.315
24.6	0.136	0.123	0.315
24.7	0.126	0.092	0.315
24.8	0.136	-0.003	0.315
25.0	0.138	-0.121	0.315
25.1	0.121	-0.105	0.315
25.2	0.097	-0.019	0.315
25.4	0.082	0.037	0.315
25.5	0.085	0.084	0.315
25.6	0.098	0.084	0.315
