# depth[mm]	Amp[V]	HF [V]	TGC [dB]
25.8	0.106	-0.011	0.315
25.9	0.102	-0.089	0.315
26.1	0.086	-0.066	0.315
26.2	0.068	0.005	0.315
26.3	0.056	0.052	0.315
26.5	0.051	0.044	0.315
26.6	0.047	-0.003	0.315
26.7	0.040	-0.034	0.315
26.9	0.030	-0.019	0.472
27.0	0.021	0.013	0.472
27.1	0.014	0.013	0.315
27.3	0.011	0.005	0.315
27.4	0.011	-0.003	0.315
27.6	0.013	-0.003	0.472
27.7	0.019	-0.019	0.472
27.8	0.028	-0.011	0.472
28.0	0.036	0.029	0.472
28.1	0.040	0.029	0.472
28.2	0.035	-0.011	0.315
28.4	0.026	-0.026	0.315
28.5	0.015	-0.011	0.472
28.6	0.010	-0.003	0.472
28.8	0.012	-0.003	0.472
28.9	0.018	0.021	0.472
29.1	0.022	0.005	0.315
29.2	0.023	-0.011	0.472
29.3	0.021	-0.019	0.472
29.5	0.020	-0.011	0.472
29.6	0.022	0.013	0.472
29.7	0.029	0.029	0.472
29.9	0.039	0.013	0.315
30.0	0.052	-0.034	0.472
30.1	0.069	-0.066	0.472
30.3	0.092	0.005	0.472
30.4	0.121	0.115	0.472
30.6	0.155	0.076	0.315
30.7	0.191	-0.145	0.315
30.8	0.230	-0.184	0.315
31.0	0.274	0.131	0.157
31.1	0.330	0.296	-0.157
31.2	0.402	-0.152	-0.157
31.4	0.489	-0.475	0.157
31.5	0.578	0.068	0.315
31.7	0.649	0.635	0.157
31.8	0.683	0.281	0.315
31.9	0.671	-0.491	0.315
32.1	0.617	-0.570	0.315
32.2	0.542	-0.026	0.157
32.3	0.471	0.375	0.157
32.5	0.417	0.399	0.157
32.6	0.384	0.076	0.157
32.7	0.358	-0.247	0.157
32.9	0.326	-0.318	0.157
33.0	0.281	-0.082	0.157
33.2	0.228	0.155	0.157
33.3	0.180	0.178	0.157
33.4	0.146	0.076	0.157
33.6	0.128	-0.034	0.000
33.7	0.119	-0.105	0.157
33.8	0.108	-0.097	0.157
34.0	0.090	-0.011	0.157
34.1	0.069	0.052	0.000
34.2	0.051	0.052	0.000
34.4	0.044	0.021	0.000
34.5	0.046	-0.003	0.000
34.7	0.051	-0.042	0.157
34.8	0.053	-0.050	0.000
34.9	0.049	-0.003	0.157
35.1	0.040	0.037	0.157
35.2	0.030	0.021	0.157
35.3	0.023	-0.003	0.000
35.5	0.021	-0.011	0.157
35.6	0.023	-0.026	0.157
35.7	0.028	-0.019	0.157
35.9	0.036	0.013	0.157
36.0	0.046	0.044	0.000
36.2	0.057	0.005	0.000
36.3	0.065	-0.058	0.157
36.4	0.066	-0.050	0.157
36.6	0.061	0.029	0.157
36.7	0.051	0.044	0.157
36.8	0.040	-0.011	0.157
37.0	0.033	-0.034	0.157
37.1	0.028	0.005	0.157
37.2	0.024	0.021	0.157
37.4	0.021	-0.003	0.000
37.5	0.018	-0.019	0.000
37.7	0.016	-0.003	0.157
37.8	0.015	0.013	0.157
37.9	0.016	0.005	0.157
38.1	0.016	-0.011	0.000
38.2	0.017	-0.019	0.157
38.3	0.018	-0.003	0.157
38.5	0.021	0.013	0.157
38.6	0.026	0.021	0.157
38.7	0.032	-0.019	0.157
38.9	0.037	-0.034	0.157
39.0	0.040	0.013	0.157
39.2	0.039	0.037	0.157
39.3	0.035	0.005	0.000
39.4	0.029	-0.026	0.157
39.6	0.022	-0.019	0.157
39.7	0.017	-0.003	0.157
39.8	0.015	0.013	0.157
40.0	0.017	0.013	0.157
40.1	0.021	0.005	0.157
40.2	0.025	-0.019	0.157
40.4	0.028	-0.026	0.157
40.5	0.030	-0.019	0.157
40.7	0.033	0.005	0.157
40.8	0.039	0.037	0.157
40.9	0.046	0.037	0.000
41.1	0.052	-0.011	0.157
41.2	0.054	-0.050	0.157
41.3	0.049	-0.034	0.157
41.5	0.040	0.013	0.157
41.6	0.030	0.029	0.157
41.7	0.023	0.021	0.157
41.9	0.021	0.005	0.157
42.0	0.021	-0.003	0.157
42.2	0.019	-0.019	0.157
42.3	0.016	-0.011	0.157
42.4	0.012	0.005	0.157
42.6	0.011	-0.011	0.000
42.7	0.016	-0.011	0.000
42.8	0.027	0.013	0.000
43.0	0.044	0.044	0.000
43.1	0.061	0.021	0.000
43.2	0.079	-0.042	0.157
43.4	0.099	-0.097	0.157
43.5	0.122	-0.082	0.157
43.7	0.150	0.052	0.157
43.8	0.180	0.170	0.000
43.9	0.205	0.139	0.157
44.1	0.219	-0.074	0.157
44.2	0.218	-0.215	0.157
44.3	0.202	-0.121	0.157
44.5	0.173	0.076	0.157
44.6	0.138	0.139	0.000
44.7	0.102	0.044	0.000
44.9	0.069	-0.034	0.157
45.0	0.044	-0.042	0.157
45.2	0.028	-0.026	0.157
45.3	0.021	-0.019	0.157
45.4	0.024	-0.019	0.000
45.6	0.034	-0.011	0.000
45.7	0.047	0.029	0.157
45.8	0.061	0.060	0.000
46.0	0.071	0.021	0.000
46.1	0.075	-0.050	0.000
46.2	0.074	-0.074	0.000
46.4	0.069	-0.019	0.157
46.5	0.062	0.044	0.157
46.7	0.055	0.052	0.157
46.8	0.051	0.005	0.000
46.9	0.047	-0.034	0.157
47.1	0.042	-0.042	0.157
47.2	0.035	-0.003	0.157
47.3	0.026	0.021	0.157
47.5	0.018	0.013	0.157
47.6	0.013	-0.003	0.000
47.7	0.011	-0.011	0.157
47.9	0.013	-0.011	0.157
48.0	0.015	0.005	0.157
48.2	0.015	0.013	0.157
48.3	0.014	-0.003	0.157
48.4	0.011	-0.011	0.000
48.6	0.008	-0.003	0.157
48.7	0.007	0.005	0.157
48.8	0.007	0.005	0.157
49.0	0.010	0.005	0.000
49.1	0.013	-0.003	0.157
49.2	0.016	-0.011	0.157
49.4	0.017	-0.019	0.157
49.5	0.017	-0.011	0.157
49.7	0.016	0.005	0.157
49.8	0.015	0.013	0.157
49.9	0.014	0.005	0.157
50.1	0.013	-0.011	0.000
50.2	0.011	-0.011	0.157
50.3	0.009	-0.003	0.157
50.5	0.007	-0.003	0.157
50.6	0.006	0.005	0.000
50.8	0.006	0.005	0.000
50.9	0.007	0.005	0.157
51.0	0.007	-0.003	0.157
51.2	0.006	-0.003	0.157
51.3	0.005	-0.003	0.157
51.4	0.005	-0.003	0.157
51.6	0.008	-0.011	0.157
51.7	0.012	-0.003	0.157
51.8	0.015	0.013	0.157
52.0	0.017	-0.003	0.157
52.1	0.018	-0.019	0.000
52.3	0.020	-0.011	0.157
52.4	0.027	0.013	0.157
52.5	0.040	0.037	0.157
52.7	0.059	0.044	0.000
52.8	0.079	-0.011	0.000
52.9	0.095	-0.089	0.157
53.1	0.104	-0.082	0.157
53.2	0.107	0.013	0.157
53.3	0.106	0.100	0.000
53.5	0.101	0.076	0.157
53.6	0.093	-0.019	0.157
53.8	0.082	-0.074	0.157
53.9	0.067	-0.058	0.157
54.0	0.052	-0.011	0.157
54.2	0.038	0.029	0.000
54.3	0.030	0.029	0.000
54.4	0.027	0.013	0.000
54.6	0.029	-0.011	0.000
54.7	0.030	-0.026	0.157
54.8	0.029	-0.026	0.157
55.0	0.024	-0.011	0.000
55.1	0.019	0.013	0.157
55.3	0.016	0.013	0.000
55.4	0.015	0.005	0.000
55.5	0.017	-0.011	0.000
55.7	0.017	-0.019	0.157
55.8	0.015	-0.011	0.157
55.9	0.012	-0.003	0.157
56.1	0.009	0.005	0.000
56.2	0.007	0.005	0.000
56.3	0.007	-0.003	0.157
56.5	0.009	-0.011	0.157
56.6	0.009	-0.003	0.157
56.8	0.008	0.005	0.157
56.9	0.007	-0.003	0.157
57.0	0.005	-0.003	0.000
57.2	0.004	0.005	0.157
57.3	0.004	-0.003	0.157
57.4	0.004	-0.003	0.157
57.6	0.003	-0.003	0.157
57.7	0.003	-0.003	0.157
57.8	0.003	-0.003	0.157
58.0	0.004	-0.003	0.157
58.1	0.007	0.005	0.157
58.3	0.009	0.005	0.157
58.4	0.010	-0.003	0.157
58.5	0.009	-0.011	0.157
58.7	0.007	-0.003	0.157
58.8	0.005	-0.003	0.157
58.9	0.006	0.005	0.157
59.1	0.008	0.005	0.000
59.2	0.011	0.005	0.157
59.3	0.012	-0.011	0.000
59.5	0.011	-0.011	0.000
59.6	0.007	-0.003	0.157
59.8	0.004	-0.003	0.157
59.9	0.002	-0.003	0.000
60.0	0.003	-0.003	0.157
60.2	0.005	-0.003	0.157
60.3	0.008	0.005	0.157
60.4	0.009	-0.003	0.157
60.6	0.010	-0.011	0.157
60.7	0.010	-0.003	0.157
60.8	0.012	0.005	0.157
61.0	0.014	0.013	0.157
61.1	0.014	0.005	0.157
61.3	0.013	-0.011	0.157
61.4	0.011	-0.011	0.157
61.5	0.010	0.005	0.157
61.7	0.011	0.005	0.157
61.8	0.012	-0.011	0.000
61.9	0.015	-0.011	0.000
62.1	0.019	0.013	0.157
62.2	0.023	0.021	0.157
62.3	0.028	0.005	0.000
62.5	0.031	-0.019	0.000
62.6	0.032	-0.034	0.157
62.8	0.028	-0.011	0.157
62.9	0.022	0.013	0.157
63.0	0.015	0.013	0.157
63.2	0.010	0.005	0.000
63.3	0.009	-0.003	0.157
63.4	0.010	-0.011	0.157
63.6	0.011	-0.011	0.157
63.7	0.012	-0.003	0.157
63.8	0.012	0.005	0.157
64.0	0.013	0.013	0.000
64.1	0.014	0.005	0.157
64.3	0.016	-0.011	0.157
64.4	0.018	-0.019	0.157
64.5	0.019	-0.011	0.157
64.7	0.020	0.005	0.157
64.8	0.022	0.021	0.000
64.9	0.025	0.013	0.157
65.1	0.027	-0.019	0.000
65.2	0.028	-0.026	0.157
65.3	0.026	-0.011	0.157
65.5	0.021	0.013	0.157
65.6	0.014	0.013	0.157
65.8	0.008	0.005	0.000
65.9	0.005	-0.003	0.000
66.0	0.003	-0.003	0.157
66.2	0.004	-0.003	0.157
66.3	0.006	-0.003	0.157
66.4	0.008	-0.011	0.157
66.6	0.010	-0.003	0.157
66.7	0.011	0.005	0.157
66.8	0.013	0.013	0.157
67.0	0.013	-0.003	0.000
67.1	0.013	-0.011	0.157
67.3	0.012	-0.011	0.157
67.4	0.010	-0.003	0.157
67.5	0.007	0.005	0.157
67.7	0.006	0.005	0.000
67.8	0.007	0.005	0.157
67.9	0.009	-0.003	0.157
68.1	0.010	-0.011	0.157
68.2	0.009	-0.003	0.157
68.3	0.006	0.005	0.157
68.5	0.004	-0.003	0.157
68.6	0.004	-0.003	0.000
68.8	0.005	-0.003	0.157
68.9	0.007	0.005	0.157
69.0	0.006	0.005	0.157
69.2	0.005	-0.003	0.157
69.3	0.003	-0.003	0.157
69.4	0.004	-0.003	0.157
69.6	0.007	-0.003	0.157
69.7	0.010	0.005	0.157
69.8	0.012	0.013	0.157
70.0	0.011	0.005	0.157
70.1	0.008	-0.003	0.157
70.3	0.005	-0.003	0.157
70.4	0.003	-0.003	0.157
70.5	0.003	-0.003	0.157
70.7	0.003	-0.003	0.157
70.8	0.003	-0.003	0.157
70.9	0.003	-0.003	0.157
71.1	0.003	-0.003	0.157
71.2	0.004	-0.003	0.157
71.4	0.005	-0.003	0.157
71.5	0.005	0.005	0.157
71.6	0.004	-0.003	0.157
71.8	0.003	-0.003	0.157
71.9	0.003	-0.003	0.157
72.0	0.004	-0.003	0.157
72.2	0.005	-0.003	0.157
72.3	0.005	0.005	0.157
72.4	0.004	-0.003	0.157
72.6	0.004	-0.003	0.157
72.7	0.004	-0.003	0.157
72.9	0.005	-0.003	0.157
73.0	0.006	0.005	0.157
73.1	0.006	0.005	0.157
73.3	0.005	-0.003	0.157
73.4	0.005	-0.003	0.157
73.5	0.006	0.005	0.157
73.7	0.007	0.005	0.157
73.8	0.010	-0.003	0.157
73.9	0.012	-0.011	0.157
74.1	0.013	-0.011	0.157
74.2	0.014	0.005	0.157
74.4	0.015	0.013	0.157
74.5	0.016	0.013	0.000
74.6	0.016	-0.003	0.000
74.8	0.014	-0.011	0.157
74.9	0.010	-0.011	0.157
75.0	0.006	-0.003	0.157
75.2	0.003	-0.003	0.157
75.3	0.002	-0.003	0.000
75.4	0.003	-0.003	0.000
75.6	0.003	-0.003	0.157
75.7	0.003	-0.003	0.157
75.9	0.003	-0.003	0.157
76.0	0.003	-0.003	0.157
76.1	0.004	-0.003	0.157
76.3	0.005	-0.003	0.157
76.4	0.005	0.005	0.157
76.5	0.005	-0.003	0.157
76.7	0.004	-0.003	0.157
76.8	0.003	-0.003	0.157
76.9	0.003	-0.003	0.157
77.1	0.003	-0.003	0.157
77.2	0.003	-0.003	0.157
77.4	0.003	-0.003	0.157
77.5	0.003	-0.003	0.157
77.6	0.003	-0.003	0.157
77.8	0.005	-0.003	0.157
77.9	0.005	-0.003	0.157
78.0	0.005	0.005	0.157
78.2	0.004	-0.003	0.157
78.3	0.003	-0.003	0.157
78.4	0.003	-0.003	0.157
78.6	0.004	-0.003	0.157
78.7	0.005	-0.003	0.157
78.9	0.005	0.005	0.157
79.0	0.004	-0.003	0.157
79.1	0.003	-0.003	0.157
79.3	0.003	-0.003	0.157
79.4	0.004	-0.003	0.157
79.5	0.005	-0.003	0.157
79.7	0.007	0.005	0.157
79.8	0.007	0.005	0.157
79.9	0.006	-0.003	0.157
80.1	0.004	-0.003	0.157
80.2	0.003	-0.003	0.157
80.4	0.002	-0.003	0.157
80.5	0.002	-0.003	0.157
80.6	0.003	-0.003	0.157
80.8	0.006	-0.003	0.157
80.9	0.008	0.005	0.157
81.0	0.010	-0.011	0.157
81.2	0.009	-0.003	0.157
81.3	0.007	0.005	0.157
81.4	0.004	-0.003	0.157
81.6	0.002	-0.003	0.000
81.7	0.003	-0.003	0.157
81.9	0.005	-0.003	0.157
82.0	0.006	0.005	0.157
82.1	0.006	-0.003	0.157
82.3	0.004	-0.003	0.157
82.4	0.003	-0.003	0.157
82.5	0.004	-0.003	0.157
82.7	0.007	-0.003	0.157
82.8	0.010	-0.003	0.157
82.9	0.011	0.013	0.157
83.1	0.011	0.005	0.157
83.2	0.009	-0.003	0.157
83.4	0.007	-0.003	0.157
83.5	0.007	-0.011	0.157
83.6	0.007	-0.003	0.157
83.8	0.008	-0.003	0.157
83.9	0.008	0.005	0.157
84.0	0.007	0.005	0.000
84.2	0.006	0.005	0.157
84.3	0.005	-0.003	0.157
84.4	0.005	-0.003	0.157
84.6	0.005	-0.003	0.157
84.7	0.006	-0.003	0.157
84.9	0.006	0.005	0.157
85.0	0.006	0.005	0.157
85.1	0.006	-0.003	0.157
85.3	0.005	-0.003	0.157
85.4	0.004	-0.003	0.157
85.5	0.004	-0.003	0.157
85.7	0.003	-0.003	0.157
85.8	0.004	-0.003	0.157
85.9	0.004	-0.003	0.157
86.1	0.004	-0.003	0.157
86.2	0.004	-0.003	0.157
86.4	0.004	-0.003	0.157
86.5	0.004	-0.003	0.157
86.6	0.004	-0.003	0.157
86.8	0.004	-0.003	0.157
86.9	0.004	-0.003	0.157
87.0	0.004	-0.003	0.157
87.2	0.004	-0.003	0.157
87.3	0.004	-0.003	0.157
87.4	0.005	-0.003	0.157
87.6	0.006	-0.003	0.157
87.7	0.006	-0.003	0.157
87.9	0.005	0.005	0.157
88.0	0.004	-0.003	0.157
88.1	0.003	-0.003	0.157
88.3	0.003	-0.003	0.157
88.4	0.004	-0.003	0.157
88.5	0.004	-0.003	0.157
88.7	0.004	-0.003	0.157
88.8	0.004	-0.003	0.157
88.9	0.004	-0.003	0.157
89.1	0.005	-0.003	0.157
89.2	0.006	-0.003	0.157
89.4	0.006	-0.003	0.157
89.5	0.005	0.005	0.157
89.6	0.004	-0.003	0.157
89.8	0.003	-0.003	0.157
89.9	0.003	-0.003	0.157
90.0	0.004	-0.003	0.157
90.2	0.004	-0.003	0.157
90.3	0.004	-0.003	0.157
90.4	0.004	-0.003	0.157
90.6	0.004	-0.003	0.157
90.7	0.005	-0.003	0.157
90.9	0.006	-0.003	0.157
91.0	0.006	-0.003	0.157
91.1	0.005	0.005	0.157
91.3	0.004	-0.003	0.157
91.4	0.004	-0.003	0.157
91.5	0.005	-0.003	0.157
91.7	0.006	0.005	0.157
91.8	0.007	0.005	0.157
92.0	0.006	-0.003	0.157
92.1	0.005	-0.003	0.000
92.2	0.004	-0.003	0.157
92.4	0.005	-0.003	0.157
92.5	0.006	-0.003	0.157
92.6	0.006	-0.003	0.157
92.8	0.006	0.005	0.157
92.9	0.005	-0.003	0.157
93.0	0.003	-0.003	0.157
93.2	0.003	-0.003	0.157
93.3	0.004	-0.003	0.157
93.5	0.004	-0.003	0.157
93.6	0.004	-0.003	0.157
93.7	0.004	-0.003	0.157
93.9	0.004	-0.003	0.157
94.0	0.005	-0.003	0.157
94.1	0.006	-0.003	0.157
94.3	0.007	-0.003	0.157
94.4	0.006	0.005	0.157
94.5	0.004	-0.003	0.157
94.7	0.003	-0.003	0.157
94.8	0.003	-0.003	0.157
95.0	0.004	-0.003	0.157
95.1	0.005	-0.003	0.157
95.2	0.006	-0.003	0.157
95.4	0.006	-0.003	0.157
95.5	0.006	0.005	0.157
95.6	0.005	-0.003	0.157
95.8	0.005	-0.003	0.157
95.9	0.005	-0.003	0.157
96.0	0.005	0.005	0.157
96.2	0.004	-0.003	0.157
96.3	0.004	-0.003	0.157
96.5	0.004	-0.003	0.157
96.6	0.005	-0.003	0.157
96.7	0.005	-0.003	0.157
96.9	0.005	0.005	0.157
97.0	0.005	-0.003	0.000
97.1	0.004	-0.003	0.157
97.3	0.004	-0.003	0.157
97.4	0.004	-0.003	0.157
97.5	0.005	0.005	0.157
97.7	0.008	0.005	0.157
97.8	0.011	0.005	0.157
98.0	0.015	-0.003	0.157
98.1	0.018	-0.019	0.157
98.2	0.021	-0.019	0.157
98.4	0.023	-0.011	0.157
98.5	0.026	0.013	0.157
98.6	0.031	0.029	0.000
98.8	0.036	0.013	0.000
98.9	0.042	-0.034	0.157
99.0	0.048	-0.042	0.157
99.2	0.057	0.013	0.157
99.3	0.071	0.068	0.157
99.5	0.088	0.037	0.000
99.6	0.106	-0.074	0.000
99.7	0.118	-0.113	0.157
99.9	0.121	-0.026	0.157
100.0	0.115	0.084	0.157
100.1	0.104	0.100	0.000
100.3	0.094	0.029	0.000
100.4	0.085	-0.050	0.157
100.5	0.079	-0.082	0.157
100.7	0.071	-0.042	0.157
100.8	0.061	0.005	0.157
101.0	0.052	0.044	0.157
101.1	0.046	0.044	0.000
101.2	0.045	0.021	0.000
101.4	0.049	-0.019	0.157
101.5	0.052	-0.050	0.157
101.6	0.053	-0.042	0.157
101.8	0.050	0.005	0.157
101.9	0.044	0.037	0.000
102.0	0.040	0.037	0.000
102.2	0.037	0.005	0.157
102.3	0.036	-0.026	0.157
102.5	0.034	-0.034	0.157
102.6	0.029	-0.011	0.157
102.7	0.024	0.005	0.157
102.9	0.020	0.021	0.000
103.0	0.017	0.013	0.000
103.1	0.017	-0.003	0.000
103.3	0.016	-0.011	0.157
103.4	0.015	-0.019	0.157
103.5	0.012	-0.003	0.157
103.7	0.010	-0.003	0.000
103.8	0.008	0.005	0.157
104.0	0.007	-0.003	0.157
104.1	0.007	-0.003	0.157
104.2	0.007	-0.003	0.157
104.4	0.007	-0.003	0.157
104.5	0.009	-0.003	0.157
104.6	0.011	-0.011	0.157
104.8	0.011	-0.003	0.157
104.9	0.010	0.005	0.157
105.0	0.007	0.005	0.157
105.2	0.006	0.005	0.000
105.3	0.006	-0.003	0.157
105.5	0.010	-0.003	0.157
105.6	0.013	-0.011	0.157
105.7	0.014	-0.011	0.157
105.9	0.012	0.005	0.157
106.0	0.009	0.005	0.157
106.1	0.007	0.005	0.000
106.3	0.008	-0.003	0.000
106.4	0.010	-0.011	0.157
106.5	0.012	-0.011	0.157
106.7	0.012	-0.003	0.157
106.8	0.010	-0.003	0.157
107.0	0.008	0.005	0.000
107.1	0.006	0.005	0.157
107.2	0.006	-0.003	0.157
107.4	0.006	-0.003	0.157
107.5	0.006	-0.003	0.157
107.6	0.006	-0.003	0.157
107.8	0.006	-0.003	0.157
107.9	0.007	0.005	0.157
108.0	0.008	-0.003	0.157
108.2	0.009	-0.003	0.157
108.3	0.009	-0.003	0.157
108.5	0.008	0.005	0.157
108.6	0.008	0.005	0.157
108.7	0.010	-0.003	0.157
108.9	0.013	-0.011	0.157
109.0	0.015	-0.011	0.157
109.1	0.017	0.005	0.157
109.3	0.017	0.013	0.157
109.4	0.015	0.013	0.000
109.5	0.014	-0.003	0.000
109.7	0.013	-0.011	0.157
109.8	0.011	-0.011	0.157
110.0	0.010	-0.003	0.157
110.1	0.008	-0.003	0.157
110.2	0.008	0.005	0.000
110.4	0.007	0.005	0.157
110.5	0.007	-0.003	0.157
110.6	0.008	-0.003	0.157
110.8	0.007	-0.003	0.157
110.9	0.007	-0.003	0.157
111.0	0.008	-0.003	0.157
111.2	0.008	-0.003	0.157
111.3	0.009	-0.003	0.157
111.5	0.009	-0.003	0.157
111.6	0.008	0.005	0.157
111.7	0.007	-0.003	0.157
111.9	0.006	-0.003	0.157
112.0	0.006	-0.003	0.157
112.1	0.007	-0.003	0.157
112.3	0.009	-0.003	0.157
112.4	0.009	0.005	0.157
112.6	0.008	0.005	0.157
112.7	0.007	-0.003	0.157
112.8	0.007	-0.003	0.157
113.0	0.008	-0.003	0.157
113.1	0.009	-0.003	0.157
113.2	0.009	-0.003	0.157
113.4	0.009	-0.003	0.157
113.5	0.008	0.005	0.157
113.6	0.008	0.005	0.157
113.8	0.009	-0.003	0.157
113.9	0.010	-0.003	0.157
114.1	0.010	-0.003	0.157
