# depth[mm]	Amp[V]	HF [V]	TGC [dB]
26.1	0.062	0.013	7.244
26.2	0.059	0.052	7.244
26.3	0.069	0.068	7.402
26.5	0.082	-0.003	7.244
26.6	0.087	-0.074	7.402
26.7	0.076	-0.058	7.402
26.9	0.055	0.013	7.402
27.0	0.036	0.037	7.402
27.1	0.027	0.021	7.402
27.3	0.028	0.005	7.402
27.4	0.032	-0.026	7.559
27.6	0.035	-0.026	7.559
27.7	0.036	0.013	7.559
27.8	0.038	0.037	7.559
28.0	0.043	-0.003	7.717
28.1	0.050	-0.050	7.717
28.2	0.056	-0.034	7.717
28.4	0.058	0.029	7.717
28.5	0.056	0.052	7.717
28.6	0.051	0.021	7.717
28.8	0.045	-0.026	7.874
28.9	0.037	-0.034	7.874
29.1	0.029	-0.026	7.874
29.2	0.021	-0.003	7.874
29.3	0.014	0.005	7.874
29.5	0.011	0.005	7.874
29.6	0.010	0.013	8.031
29.7	0.012	0.013	8.031
29.9	0.018	-0.011	8.031
30.0	0.031	0.005	8.031
30.1	0.053	0.044	8.031
30.3	0.086	0.005	8.189
30.4	0.132	-0.129	8.189
30.6	0.191	-0.137	8.189
30.7	0.266	0.107	8.189
30.8	0.361	0.352	8.189
31.0	0.482	0.123	8.189
31.1	0.627	-0.530	8.346
31.2	0.783	-0.625	8.346
31.4	0.923	0.304	8.346
31.5	1.013	0.997	8.346
31.7	1.036	0.391	8.346
31.8	0.994	-0.704	8.504
31.9	0.917	-0.885	8.504
32.1	0.844	-0.247	8.504
32.2	0.803	0.485	8.504
32.3	0.792	0.792	8.504
32.5	0.784	0.336	8.661
32.6	0.747	-0.452	8.661
32.7	0.668	-0.656	8.661
32.9	0.561	-0.200	8.661
33.0	0.456	0.273	8.661
33.2	0.377	0.375	8.661
33.3	0.327	0.194	8.819
33.4	0.292	-0.097	8.819
33.6	0.254	-0.247	8.819
33.7	0.209	-0.152	8.819
33.8	0.163	0.021	8.819
34.0	0.129	0.107	8.819
34.1	0.111	0.107	8.976
34.2	0.101	0.029	8.976
34.4	0.087	-0.058	8.976
34.5	0.066	-0.066	8.976
34.7	0.045	-0.019	8.976
34.8	0.033	-0.003	9.134
34.9	0.034	0.029	9.134
35.1	0.045	0.044	9.134
35.2	0.055	0.013	9.134
35.3	0.058	-0.034	9.134
35.5	0.056	-0.058	9.134
