# depth[mm]	Amp[V]	HF [V]	TGC [dB]
114.2	0.014	0.013	25.669
114.3	0.017	-0.003	25.827
114.5	0.022	-0.019	25.827
114.6	0.028	-0.026	25.827
114.7	0.031	0.005	25.984
114.9	0.031	0.021	25.984
115.0	0.029	0.029	25.827
115.1	0.029	0.013	25.984
115.3	0.031	-0.011	25.984
115.4	0.034	-0.034	25.984
115.6	0.038	-0.034	25.984
115.7	0.040	-0.011	25.984
115.8	0.042	0.013	26.142
116.0	0.043	0.044	26.142
116.1	0.042	0.029	26.142
116.2	0.039	-0.019	26.142
116.4	0.034	-0.026	26.299
116.5	0.027	-0.026	26.299
116.6	0.022	-0.011	26.299
116.8	0.017	0.005	26.299
116.9	0.013	0.005	26.299
117.1	0.009	0.005	26.299
117.2	0.005	-0.003	26.299
117.3	0.003	0.005	26.457
117.5	0.005	-0.003	26.457
117.6	0.008	-0.003	26.457
117.7	0.011	-0.011	26.457
117.9	0.012	-0.011	26.614
118.0	0.011	0.005	26.614
118.1	0.010	0.005	26.614
118.3	0.014	0.005	26.614
118.4	0.022	-0.026	26.614
118.6	0.033	-0.019	26.614
118.7	0.045	0.005	26.614
118.8	0.056	0.052	26.772
119.0	0.067	0.052	26.772
119.1	0.082	-0.011	26.772
119.2	0.101	-0.089	26.929
119.4	0.119	-0.105	26.772
119.5	0.134	-0.019	26.929
119.6	0.140	0.107	26.929
119.8	0.138	0.131	26.929
119.9	0.132	0.052	26.929
120.1	0.125	-0.050	26.929
120.2	0.119	-0.121	26.929
120.3	0.114	-0.097	26.929
120.5	0.109	-0.050	26.929
120.6	0.102	0.021	26.772
120.7	0.096	0.076	26.772
120.9	0.092	0.092	26.457
121.0	0.091	0.060	24.252
121.1	0.091	-0.019	20.945
121.3	0.089	-0.082	17.638
121.4	0.081	-0.066	14.016
121.6	0.068	-0.003	10.551
121.7	0.053	0.044	7.717
121.8	0.040	0.037	5.512
122.0	0.031	0.005	3.937
122.1	0.028	-0.019	2.677
122.2	0.026	-0.026	1.732
122.4	0.023	-0.011	1.102
122.5	0.018	0.005	0.787
122.6	0.012	0.005	0.630
122.8	0.009	0.005	0.472
122.9	0.009	-0.003	0.472
123.1	0.013	-0.011	0.472
123.2	0.016	-0.011	0.472
123.3	0.016	-0.003	0.315
123.5	0.014	0.005	0.315
123.6	0.011	0.005	0.315
123.7	0.011	0.005	0.315
123.9	0.012	-0.003	0.315
124.0	0.013	-0.003	0.315
124.1	0.013	-0.003	0.315
124.3	0.012	-0.003	0.315
124.4	0.012	0.005	0.315
124.6	0.012	0.005	0.315
124.7	0.014	-0.003	0.315
124.8	0.015	-0.003	0.157
125.0	0.014	0.005	0.315
125.1	0.012	-0.003	0.315
125.2	0.009	0.005	0.157
125.4	0.008	-0.003	0.157
125.5	0.009	-0.003	0.315
125.6	0.010	0.005	0.315
125.8	0.012	-0.003	0.157
125.9	0.013	-0.003	0.157
126.1	0.014	-0.003	0.315
126.2	0.015	0.005	0.315
126.3	0.016	-0.003	0.315
126.5	0.016	-0.003	0.157
126.6	0.015	0.005	0.315
126.7	0.014	-0.003	0.315
126.9	0.013	-0.003	0.315
127.0	0.014	-0.003	0.315
127.1	0.015	-0.003	0.315
127.3	0.015	-0.003	0.315
127.4	0.014	0.005	0.315
127.6	0.014	-0.003	0.157
127.7	0.014	-0.003	0.315
127.8	0.015	0.005	0.315
128.0	0.015	0.005	0.315
128.1	0.015	-0.003	0.315
128.2	0.015	-0.003	0.315
128.4	0.014	-0.003	0.315
128.5	0.015	-0.003	0.315
128.6	0.017	0.005	0.315
128.8	0.018	0.005	0.315
128.9	0.017	-0.003	0.315
129.1	0.016	-0.003	0.315
129.2	0.015	-0.003	0.315
129.3	0.015	-0.003	0.315
129.5	0.017	0.005	0.315
129.6	0.019	0.005	0.315
129.7	0.020	0.005	0.315
129.9	0.020	-0.003	0.315
130.0	0.019	-0.003	0.315
130.1	0.019	-0.003	0.315
130.3	0.020	-0.003	0.315
130.4	0.022	-0.003	0.315
130.6	0.024	0.005	0.315
130.7	0.024	0.005	0.315
130.8	0.023	-0.003	0.157
131.0	0.021	0.005	0.315
131.1	0.019	-0.003	0.315
131.2	0.019	-0.003	0.315
131.4	0.020	-0.003	0.315
131.5	0.022	-0.003	0.315
131.7	0.023	-0.003	0.315
131.8	0.023	-0.003	0.315
131.9	0.023	-0.003	0.315
132.1	0.023	-0.003	0.315
132.2	0.024	-0.003	0.315
132.3	0.025	-0.003	0.315
132.5	0.026	-0.003	0.157
132.6	0.026	-0.003	0.315
132.7	0.027	-0.003	0.315
132.9	0.027	-0.003	0.315
133.0	0.028	-0.003	0.315
133.2	0.028	0.005	0.315
133.3	0.029	0.005	0.315
133.4	0.029	0.005	0.315
133.6	0.027	-0.003	0.315
133.7	0.027	-0.003	0.315
133.8	0.027	-0.003	0.315
134.0	0.030	-0.003	0.315
134.1	0.032	0.005	0.157
134.2	0.034	-0.003	0.315
134.4	0.035	-0.003	0.315
134.5	0.035	-0.003	0.315
134.7	0.035	-0.003	0.157
134.8	0.037	-0.003	0.157
134.9	0.038	-0.003	0.315
135.1	0.039	-0.003	0.315
135.2	0.039	-0.003	0.315
135.3	0.039	-0.003	0.315
135.5	0.041	-0.003	0.315
135.6	0.043	-0.003	0.315
135.7	0.046	-0.003	0.157
135.9	0.046	-0.003	0.315
136.0	0.045	-0.003	0.315
136.2	0.045	-0.003	0.315
136.3	0.049	-0.003	0.315
