# depth[mm]	Amp[V]	HF [V]	TGC [dB]
0.0	0.475	0.005	0.315 
0.1	0.737	0.021	0.472
0.3	1.008	0.990	0.157
0.4	1.232	-0.947	-0.157
0.5	1.367	-1.010	0.472
0.7	1.400	-1.010	0.472
0.8	1.350	0.533	0.315
1.0	1.261	0.998	0.157
1.1	1.194	0.998	0.000
1.2	1.189	-1.010	0.315
1.4	1.247	0.998	0.315
1.5	1.319	0.998	0.315
1.6	1.351	0.761	0.157
1.8	1.326	-1.010	0.315
1.9	1.285	-1.010	0.315
2.0	1.284	-0.892	0.315
2.2	1.342	0.998	0.157
2.3	1.412	0.998	0.315
2.5	1.422	0.998	0.315
2.6	1.346	-1.010	0.315
2.7	1.235	-1.010	0.157
2.9	1.178	0.281	0.157
3.0	1.211	0.998	0.157
3.1	1.272	0.998	0.315
3.3	1.248	-0.506	0.315
3.4	1.079	-1.010	0.315
3.5	0.829	-0.727	0.157
3.7	0.648	-0.310	0.157
3.8	0.655	-0.467	0.315
4.0	0.836	0.084	0.315
4.1	1.049	0.935	0.157
4.2	1.126	0.966	0.157
4.4	0.996	0.124	0.315
4.5	0.726	-0.609	0.315
4.6	0.459	-0.365	0.315
4.8	0.304	0.163	0.157
4.9	0.275	0.281	0.157
5.0	0.305	0.194	0.315
5.2	0.313	0.053	0.315
5.3	0.270	-0.207	0.315
5.5	0.200	-0.199	0.315
5.6	0.143	0.053	0.157
5.7	0.118	0.108	0.315
5.9	0.112	0.045	0.315
6.0	0.100	-0.010	0.315
6.1	0.076	-0.065	0.315
6.3	0.055	-0.058	0.315
6.4	0.062	-0.018	0.315
6.5	0.105	0.061	0.157
6.7	0.169	0.147	0.315
6.8	0.224	0.029	0.315
7.0	0.249	-0.215	0.157
7.1	0.248	-0.223	0.315
7.2	0.240	-0.010	0.315
7.4	0.242	0.179	0.315
7.5	0.255	0.242	0.315
7.6	0.263	0.037	0.315
7.8	0.246	-0.223	0.157
7.9	0.205	-0.121	0.315
8.0	0.157	0.100	0.157
8.2	0.126	0.124	0.315
8.3	0.123	0.068	0.157
8.5	0.136	0.013	0.157
8.6	0.145	-0.121	0.315
8.7	0.135	-0.128	0.315
8.9	0.110	-0.010	0.315
9.0	0.088	0.053	0.157
9.1	0.082	0.076	0.315
9.3	0.091	0.068	0.315
9.4	0.102	-0.034	0.157
9.5	0.103	-0.097	0.315
9.7	0.090	-0.026	0.315
9.8	0.074	0.061	0.157
10.0	0.064	0.053	0.157
10.1	0.063	-0.002	0.157
10.2	0.066	-0.042	0.157
10.4	0.067	-0.058	0.315
10.5	0.065	-0.050	0.157
10.6	0.063	0.005	0.315
10.8	0.064	0.053	0.157
10.9	0.065	0.053	0.157
11.1	0.064	-0.002	0.157
11.2	0.059	-0.050	0.315
11.3	0.056	-0.042	0.315
11.5	0.060	0.013	0.157
11.6	0.072	0.068	0.157
11.7	0.084	0.029	0.157
11.9	0.088	-0.065	0.157
12.0	0.080	-0.073	0.315
12.1	0.063	-0.002	0.157
12.3	0.046	0.037	0.315
12.4	0.035	0.029	0.315
12.6	0.030	0.005	0.315
12.7	0.029	-0.018	0.315
12.8	0.027	-0.018	0.315
13.0	0.026	0.005	0.157
13.1	0.026	0.021	0.315
13.2	0.029	0.005	0.157
13.4	0.032	-0.018	0.157
13.5	0.031	-0.026	0.315
13.6	0.026	-0.010	0.315
13.8	0.020	-0.002	0.315
13.9	0.019	0.013	0.157
14.1	0.027	0.013	0.315
14.2	0.043	0.029	0.315
14.3	0.064	0.013	0.315
14.5	0.093	-0.089	0.315
14.6	0.133	-0.042	0.157
14.7	0.188	0.179	0.157
14.9	0.249	0.108	0.315
15.0	0.299	-0.247	0.157
15.1	0.315	-0.215	0.157
15.3	0.287	0.155	0.157
15.4	0.226	0.226	0.157
15.6	0.159	0.005	0.157
15.7	0.118	-0.065	0.315
15.8	0.121	-0.097	0.315
16.0	0.161	-0.160	0.315
16.1	0.218	0.021	0.157
16.2	0.268	0.257	0.157
16.4	0.300	0.116	0.157
16.5	0.311	-0.254	0.157
16.6	0.303	-0.223	0.315
16.8	0.275	0.147	0.315
16.9	0.228	0.210	0.315
17.1	0.167	-0.034	0.157
17.2	0.108	-0.105	0.315
17.3	0.069	-0.050	0.315
17.5	0.062	-0.018	0.315
17.6	0.079	0.061	0.315
17.7	0.103	0.084	0.000
17.9	0.112	-0.050	0.315
18.0	0.101	-0.097	1.890
18.1	0.077	-0.002	3.307
18.3	0.053	0.045	4.094
18.4	0.041	0.037	4.724
18.6	0.041	0.013	5.197
18.7	0.045	-0.034	5.354
18.8	0.048	-0.034	5.512
19.0	0.046	0.029	5.669
19.1	0.039	0.029	5.669
19.2	0.031	-0.018	5.669
19.4	0.025	-0.018	5.827
19.5	0.026	-0.018	5.827
19.6	0.041	0.013	5.827
19.8	0.069	0.068	5.827
19.9	0.100	0.029	5.827
20.1	0.117	-0.089	5.984
20.2	0.109	-0.089	5.984
20.3	0.079	0.029	5.984
20.5	0.048	0.053	5.984
20.6	0.038	0.029	6.142
20.7	0.054	0.037	6.142
20.9	0.081	0.021	6.142
21.0	0.096	-0.073	6.142
21.1	0.088	-0.089	6.142
21.3	0.070	0.029	6.142
21.4	0.063	0.021	6.299
21.6	0.081	-0.058	6.142
21.7	0.116	0.045	6.299
21.8	0.147	0.171	6.299
22.0	0.166	0.076	6.299
22.1	0.193	-0.034	6.299
22.2	0.264	-0.136	6.457
22.4	0.403	-0.428	6.457
22.5	0.588	-0.302	6.457
22.6	0.758	0.446	6.457
22.8	0.845	0.801	6.457
22.9	0.818	0.061	6.614
23.1	0.702	-0.625	6.614
23.2	0.564	-0.491	6.614
23.3	0.466	-0.089	6.614
23.5	0.432	0.249	6.614
23.6	0.436	0.438	6.614
23.7	0.433	0.234	6.772
23.9	0.393	-0.199	6.772
24.0	0.321	-0.317	6.772
24.1	0.246	-0.136	6.772
24.3	0.197	0.053	6.929
24.4	0.181	0.163	6.929
24.6	0.182	0.163	6.929
24.7	0.175	-0.002	6.929
24.8	0.150	-0.128	6.929
25.0	0.113	-0.097	7.087
25.1	0.078	-0.010	7.087
25.2	0.058	0.037	7.087
25.4	0.053	0.053	7.087
25.5	0.055	0.037	7.087
25.6	0.056	-0.018	7.087
25.8	0.052	-0.050	7.244
25.9	0.046	-0.026	7.244
26.1	0.044	0.021	7.244
26.2	0.045	0.045	7.244
26.3	0.046	0.021	7.244
26.5	0.044	-0.026	7.244
26.6	0.037	-0.034	7.402
26.7	0.027	-0.010	7.402
26.9	0.018	0.013	7.402
27.0	0.012	0.013	7.402
27.1	0.012	-0.002	7.402
27.3	0.015	0.005	7.402
27.4	0.021	0.013	7.559
27.6	0.027	-0.002	7.559
27.7	0.031	-0.034	7.559
27.8	0.033	-0.018	7.559
28.0	0.033	0.013	7.559
28.1	0.032	0.029	7.717
28.2	0.032	0.021	7.717
28.4	0.033	-0.010	7.717
28.5	0.035	-0.034	7.717
28.6	0.038	-0.026	7.717
28.8	0.039	0.013	7.874
28.9	0.038	0.037	7.874
29.1	0.036	0.013	7.874
29.2	0.035	-0.026	7.874
29.3	0.036	-0.034	7.874
29.5	0.040	-0.002	7.874
29.6	0.046	0.037	8.031
29.7	0.052	0.045	8.031
29.9	0.057	-0.002	8.031
30.0	0.060	-0.058	8.031
30.1	0.060	-0.034	8.031
30.3	0.061	0.045	8.189
30.4	0.062	0.029	8.189
30.6	0.069	-0.065	8.189
30.7	0.087	-0.050	8.189
30.8	0.121	0.076	8.189
31.0	0.174	0.163	8.189
31.1	0.248	0.013	8.346
31.2	0.337	-0.310	8.346
31.4	0.431	-0.294	8.346
31.5	0.514	0.257	8.346
31.7	0.572	0.557	8.346
31.8	0.593	0.092	8.504
31.9	0.576	-0.491	8.504
32.1	0.533	-0.451	8.504
32.2	0.480	0.045	8.504
32.3	0.433	0.383	8.504
32.5	0.401	0.344	8.661
32.6	0.382	0.005	8.661
32.7	0.366	-0.310	8.661
32.9	0.343	-0.302	8.661
33.0	0.312	0.005	8.661
33.2	0.273	0.249	8.661
33.3	0.234	0.179	8.819
33.4	0.198	-0.034	8.819
33.6	0.165	-0.160	8.819
33.7	0.135	-0.097	8.819
33.8	0.108	0.037	8.819
34.0	0.087	0.084	8.819
34.1	0.073	0.029	8.976
34.2	0.065	-0.050	8.976
34.4	0.059	-0.050	8.976
34.5	0.052	0.013	8.976
34.7	0.042	0.045	8.976
34.8	0.034	-0.010	9.134
34.9	0.029	-0.010	9.134
35.1	0.031	0.029	9.134
35.2	0.038	0.005	9.134
35.3	0.047	-0.042	9.134
35.5	0.055	-0.050	9.291
35.6	0.063	-0.002	9.291
35.7	0.069	0.061	9.291
35.9	0.075	0.053	9.291
36.0	0.078	-0.034	9.291
36.2	0.079	-0.081	9.449
36.3	0.080	-0.010	9.449
36.4	0.082	0.076	9.449
36.6	0.084	0.029	9.449
36.7	0.081	-0.073	9.449
36.8	0.071	-0.042	9.449
37.0	0.054	0.037	9.606
37.1	0.038	0.037	9.606
37.2	0.028	0.005	9.606
37.4	0.029	-0.002	9.606
37.5	0.035	-0.026	9.606
37.7	0.039	-0.042	9.764
37.8	0.037	0.013	9.764
37.9	0.029	0.021	9.764
38.1	0.024	-0.018	9.764
38.2	0.026	0.005	9.764
38.3	0.037	0.037	9.764
38.5	0.048	-0.002	9.764
38.6	0.053	-0.050	9.921
38.7	0.049	-0.034	9.921
38.9	0.040	0.005	9.921
39.0	0.030	0.029	9.921
39.2	0.024	0.021	9.921
39.3	0.021	0.005	9.921
39.4	0.018	-0.010	10.079
39.6	0.015	-0.010	10.079
39.7	0.014	-0.010	10.079
39.8	0.017	-0.018	10.079
40.0	0.025	-0.010	10.079
40.1	0.035	0.021	10.079
40.2	0.042	0.037	10.236
40.4	0.044	-0.010	10.236
40.5	0.042	-0.042	10.236
40.7	0.040	-0.018	10.394
40.8	0.038	0.029	10.394
40.9	0.038	0.029	10.394
41.1	0.036	-0.010	10.394
41.2	0.033	-0.034	10.394
41.3	0.029	-0.018	10.394
41.5	0.025	0.005	10.551
41.6	0.024	0.021	10.394
41.7	0.025	0.021	10.551
41.9	0.027	0.005	10.551
42.0	0.031	-0.018	10.709
42.2	0.040	-0.042	10.551
42.3	0.053	-0.034	10.709
42.4	0.068	0.021	10.709
42.6	0.079	0.076	10.709
42.7	0.081	0.045	10.709
42.8	0.074	-0.034	10.709
43.0	0.064	-0.065	10.866
43.1	0.062	-0.050	10.866
43.2	0.077	-0.058	10.866
43.4	0.107	-0.002	10.866
43.5	0.146	0.124	10.866
43.7	0.183	0.163	10.866
43.8	0.207	0.005	11.024
43.9	0.214	-0.184	11.024
44.1	0.205	-0.176	11.024
44.2	0.183	0.005	11.024
44.3	0.155	0.139	11.024
44.5	0.126	0.108	11.181
44.6	0.102	0.021	11.181
44.7	0.084	-0.050	11.181
44.9	0.073	-0.073	11.181
45.0	0.069	-0.058	11.181
45.2	0.068	-0.002	11.339
45.3	0.068	0.045	11.181
45.4	0.069	0.068	11.339
45.6	0.068	0.029	11.339
45.7	0.064	-0.034	11.339
45.8	0.057	-0.058	11.339
46.0	0.051	-0.034	11.496
46.1	0.046	0.005	11.496
46.2	0.043	0.037	11.496
46.4	0.042	0.037	11.496
46.5	0.038	-0.002	11.496
46.7	0.030	-0.026	11.496
46.8	0.019	-0.018	11.654
46.9	0.010	-0.002	11.654
47.1	0.006	-0.002	11.654
47.2	0.006	-0.002	11.654
47.3	0.009	-0.002	11.654
47.5	0.012	0.013	11.811
47.6	0.011	0.005	11.811
47.7	0.010	0.005	11.811
47.9	0.011	-0.002	11.811
48.0	0.016	-0.010	11.969
48.2	0.025	-0.026	11.969
48.3	0.033	-0.010	11.969
48.4	0.040	0.029	11.969
48.6	0.043	0.037	11.969
48.7	0.043	-0.002	11.969
48.8	0.041	-0.042	12.126
49.0	0.038	-0.018	12.126
49.1	0.034	0.021	12.126
49.2	0.031	0.029	12.126
49.4	0.027	0.005	12.126
49.5	0.023	-0.018	12.126
49.7	0.020	-0.018	12.283
49.8	0.017	-0.002	12.283
49.9	0.014	0.013	12.283
50.1	0.011	0.005	12.283
50.2	0.008	-0.002	12.283
50.3	0.007	0.005	12.441
