# depth[mm]	Amp[V]	HF [V]	TGC [dB]
50.5	0.008	-0.002	12.441
50.6	0.010	-0.010	12.441
50.8	0.015	-0.010	12.441
50.9	0.021	0.013	12.441
51.0	0.027	0.021	12.441
51.2	0.031	-0.002	12.441
51.3	0.032	-0.034	12.598
51.4	0.032	-0.018	12.598
51.6	0.033	0.021	12.598
51.7	0.037	0.029	12.756
51.8	0.045	-0.010	12.756
52.0	0.054	-0.058	12.756
52.1	0.063	-0.026	12.756
52.3	0.072	0.045	12.756
52.4	0.080	0.076	12.756
52.5	0.090	0.037	12.756
52.7	0.101	-0.058	12.756
52.8	0.112	-0.113	12.913
52.9	0.119	-0.058	12.913
53.1	0.121	0.061	12.913
53.2	0.115	0.116	12.913
53.3	0.103	0.045	13.071
53.5	0.088	-0.050	13.071
53.6	0.072	-0.073	13.071
53.8	0.058	-0.026	13.071
53.9	0.046	0.021	13.071
54.0	0.038	0.037	13.071
54.2	0.031	0.021	13.228
54.3	0.025	-0.010	13.228
54.4	0.019	-0.018	13.228
54.6	0.014	-0.002	13.228
54.7	0.010	0.005	13.228
54.8	0.008	-0.010	13.228
55.0	0.010	-0.010	13.386
55.1	0.012	-0.002	13.386
55.3	0.013	0.005	13.386
55.4	0.013	0.013	13.386
55.5	0.011	-0.002	13.386
55.7	0.011	-0.010	13.543
55.8	0.013	-0.010	13.543
55.9	0.018	-0.002	13.543
56.1	0.022	0.021	13.543
56.2	0.023	0.005	13.543
56.3	0.018	-0.018	13.701
56.5	0.012	-0.010	13.701
56.6	0.007	-0.002	13.701
56.8	0.006	-0.002	13.701
56.9	0.009	-0.002	13.701
57.0	0.012	0.013	13.858
57.2	0.013	0.005	13.701
57.3	0.012	-0.010	13.858
57.4	0.010	-0.002	13.858
57.6	0.009	0.005	13.858
57.7	0.010	-0.010	13.858
57.8	0.010	-0.010	13.858
58.0	0.009	-0.002	14.016
58.1	0.008	0.005	14.016
58.3	0.006	-0.002	14.016
58.4	0.006	-0.002	14.016
58.5	0.006	0.005	14.016
58.7	0.008	0.005	14.173
58.8	0.009	-0.010	14.173
58.9	0.010	-0.002	14.173
59.1	0.011	0.005	14.173
59.2	0.011	0.005	14.173
59.3	0.010	-0.010	14.173
59.5	0.008	-0.010	14.331
59.6	0.007	-0.002	14.331
59.8	0.008	-0.002	14.331
59.9	0.010	-0.010	14.331
60.0	0.011	-0.010	14.331
60.2	0.010	0.005	14.488
60.3	0.008	0.005	14.488
60.4	0.005	-0.002	14.488
60.6	0.005	-0.002	14.488
60.7	0.006	-0.002	14.488
60.8	0.009	-0.010	14.488
61.0	0.011	-0.010	14.646
61.1	0.013	-0.002	14.646
61.3	0.016	0.005	14.646
61.4	0.021	0.021	14.646
61.5	0.027	0.013	14.803
61.7	0.031	-0.018	14.803
61.8	0.033	-0.034	14.803
61.9	0.032	-0.010	14.803
62.1	0.032	0.021	14.803
62.2	0.033	0.029	14.803
62.3	0.034	0.013	14.961
62.5	0.032	-0.026	14.961
62.6	0.027	-0.026	14.961
62.8	0.019	-0.002	14.961
62.9	0.011	0.005	14.961
63.0	0.008	0.005	14.961
63.2	0.009	-0.010	15.118
63.3	0.011	0.005	15.118
63.4	0.015	0.013	15.118
63.6	0.018	0.005	15.118
63.7	0.022	-0.010	15.118
63.8	0.027	-0.026	15.276
64.0	0.032	-0.026	15.276
64.1	0.034	0.005	15.276
64.3	0.032	0.029	15.276
64.4	0.028	0.021	15.276
64.5	0.026	-0.002	15.276
64.7	0.028	-0.018	15.433
64.8	0.033	-0.034	15.433
64.9	0.039	-0.026	15.433
65.1	0.041	0.013	15.433
65.2	0.039	0.037	15.591
65.3	0.034	0.021	15.433
65.5	0.029	-0.010	15.433
65.6	0.026	-0.026	15.591
65.8	0.026	-0.018	15.591
65.9	0.026	0.013	15.591
66.0	0.025	0.021	15.591
66.2	0.022	-0.002	15.591
66.3	0.018	-0.018	15.748
66.4	0.013	-0.010	15.748
66.6	0.009	0.005	15.748
66.7	0.006	-0.002	15.748
66.8	0.004	0.005	15.906
67.0	0.004	-0.002	15.906
67.1	0.006	0.005	15.906
67.3	0.009	-0.002	15.906
67.4	0.012	-0.010	15.906
67.5	0.014	-0.010	15.906
67.7	0.015	-0.002	16.063
67.8	0.013	0.013	16.063
67.9	0.010	0.005	16.063
68.1	0.005	-0.002	16.063
68.2	0.002	-0.002	16.220
68.3	0.002	-0.002	16.063
68.5	0.004	-0.002	16.220
68.6	0.008	0.005	16.220
68.8	0.009	0.005	16.220
68.9	0.009	-0.002	16.378
69.0	0.007	-0.010	16.220
69.2	0.008	-0.002	16.378
69.3	0.011	0.005	16.378
69.4	0.015	-0.010	16.378
69.6	0.018	-0.018	16.378
69.7	0.018	-0.002	16.535
69.8	0.014	0.013	16.535
70.0	0.010	0.005	16.535
70.1	0.009	0.005	16.535
70.3	0.012	-0.002	16.535
70.4	0.016	-0.018	16.535
70.5	0.019	-0.010	16.535
70.7	0.018	0.005	16.693
70.8	0.014	0.013	16.693
70.9	0.009	0.005	16.693
71.1	0.005	-0.002	16.693
71.2	0.003	-0.002	16.693
71.4	0.002	-0.002	16.850
71.5	0.003	-0.002	16.850
71.6	0.003	-0.002	16.850
71.8	0.004	-0.002	16.850
71.9	0.005	-0.002	16.850
72.0	0.006	0.005	17.008
72.2	0.006	0.005	17.008
72.3	0.007	-0.002	17.008
72.4	0.008	-0.002	17.008
72.6	0.008	-0.010	17.008
72.7	0.009	-0.002	17.008
72.9	0.008	0.005	17.165
73.0	0.006	0.005	17.165
73.1	0.005	-0.002	17.165
73.3	0.006	-0.002	17.165
73.4	0.008	0.005	17.165
73.5	0.013	-0.010	17.165
73.7	0.018	-0.018	17.323
73.8	0.022	-0.010	17.323
73.9	0.026	0.005	17.323
74.1	0.029	0.029	17.323
74.2	0.030	0.021	17.323
74.4	0.030	-0.010	17.323
74.5	0.028	-0.026	17.480
74.6	0.023	-0.018	17.480
74.8	0.017	-0.002	17.480
74.9	0.010	0.005	17.480
75.0	0.005	0.005	17.480
75.2	0.005	0.005	17.638
75.3	0.008	0.005	17.638
75.4	0.014	0.005	17.638
75.6	0.020	-0.018	17.638
75.7	0.022	-0.018	17.638
75.9	0.020	-0.002	17.795
76.0	0.015	0.013	17.795
76.1	0.009	0.005	17.795
76.3	0.005	-0.002	17.795
76.4	0.005	0.005	17.795
76.5	0.007	-0.002	17.953
76.7	0.009	-0.010	17.953
76.8	0.010	-0.002	17.953
76.9	0.009	0.005	17.953
77.1	0.006	0.005	17.953
77.2	0.004	-0.002	17.953
77.4	0.003	-0.002	17.953
77.5	0.002	-0.002	18.110
77.6	0.003	-0.002	18.110
77.8	0.004	-0.002	18.110
77.9	0.006	-0.002	18.268
78.0	0.006	-0.002	18.268
78.2	0.007	0.005	18.268
78.3	0.006	0.005	18.268
78.4	0.006	-0.002	18.268
78.6	0.005	-0.002	18.268
78.7	0.005	0.005	18.425
78.9	0.005	-0.002	18.425
79.0	0.006	-0.002	18.425
79.1	0.008	0.005	18.425
79.3	0.009	0.005	18.425
79.4	0.009	0.005	18.425
79.5	0.009	-0.010	18.583
79.7	0.008	-0.002	18.583
79.8	0.007	0.005	18.583
79.9	0.006	-0.002	18.583
80.1	0.006	-0.002	18.583
80.2	0.006	0.005	18.740
80.4	0.006	0.005	18.740
80.5	0.005	-0.002	18.740
80.6	0.005	-0.002	18.740
80.8	0.005	-0.002	18.740
80.9	0.005	-0.002	18.740
81.0	0.005	0.005	18.740
81.2	0.004	-0.002	18.898
81.3	0.003	-0.002	18.898
81.4	0.003	-0.002	18.898
81.6	0.004	-0.002	18.898
81.7	0.007	-0.002	18.898
81.9	0.011	0.005	19.055
82.0	0.014	0.013	19.055
82.1	0.014	0.005	19.055
82.3	0.011	-0.010	19.055
82.4	0.006	-0.002	19.055
82.5	0.003	-0.002	19.055
82.7	0.004	-0.002	19.055
82.8	0.006	0.005	19.213
82.9	0.008	0.005	19.213
83.1	0.009	0.005	19.213
83.2	0.008	-0.002	19.370
83.4	0.007	-0.010	19.370
83.5	0.007	-0.002	19.370
83.6	0.009	-0.002	19.370
83.8	0.011	0.005	19.370
83.9	0.012	0.013	19.370
84.0	0.009	-0.002	19.528
84.2	0.005	-0.002	19.370
84.3	0.003	-0.002	19.528
84.4	0.004	-0.002	19.528
84.6	0.007	-0.002	19.528
84.7	0.011	0.005	19.528
84.9	0.012	0.013	19.685
85.0	0.011	0.005	19.685
85.1	0.008	-0.002	19.685
85.3	0.006	-0.002	19.685
85.4	0.007	0.005	19.685
85.5	0.009	-0.002	19.685
85.7	0.011	-0.010	19.843
85.8	0.011	-0.010	19.843
85.9	0.010	-0.002	19.843
86.1	0.008	0.005	20.000
86.2	0.006	-0.002	19.843
86.4	0.005	-0.002	20.000
86.5	0.005	0.005	20.000
86.6	0.005	-0.002	20.000
86.8	0.005	-0.002	20.000
86.9	0.006	0.005	20.157
87.0	0.006	0.005	20.157
87.2	0.006	-0.002	20.157
87.3	0.005	-0.002	20.157
87.4	0.003	-0.002	20.157
87.6	0.002	-0.002	20.157
87.7	0.003	-0.002	20.315
87.9	0.005	-0.002	20.315
88.0	0.007	0.005	20.315
88.1	0.009	0.005	20.315
88.3	0.009	-0.002	20.315
88.4	0.008	-0.010	20.472
88.5	0.008	-0.002	20.472
88.7	0.008	-0.002	20.472
88.8	0.008	0.005	20.472
88.9	0.007	0.005	20.472
89.1	0.006	-0.002	20.472
89.2	0.005	-0.002	20.472
89.4	0.004	-0.002	20.630
89.5	0.004	-0.002	20.630
89.6	0.004	-0.002	20.630
89.8	0.005	-0.002	20.630
89.9	0.005	-0.002	20.630
90.0	0.006	0.005	20.787
90.2	0.008	0.005	20.787
90.3	0.010	-0.002	20.787
90.4	0.012	-0.010	20.787
90.6	0.011	-0.010	20.787
90.7	0.010	-0.002	20.787
90.9	0.009	0.005	20.945
91.0	0.009	0.005	20.945
91.1	0.010	0.005	20.945
91.3	0.012	-0.010	20.945
91.4	0.011	-0.010	20.945
91.5	0.010	-0.002	20.945
91.7	0.008	0.005	21.102
91.8	0.008	0.005	21.102
92.0	0.008	-0.002	21.102
92.1	0.009	-0.010	21.102
92.2	0.010	-0.002	21.260
92.4	0.009	0.005	21.260
92.5	0.008	0.005	21.260
92.6	0.007	0.005	21.260
92.8	0.007	0.005	21.260
92.9	0.008	-0.002	21.260
93.0	0.008	-0.002	21.417
93.2	0.008	-0.010	21.417
93.3	0.008	-0.002	21.417
93.5	0.007	0.005	21.417
93.6	0.006	-0.002	21.417
93.7	0.004	-0.002	21.417
93.9	0.004	-0.002	21.575
94.0	0.004	-0.002	21.575
94.1	0.005	-0.002	21.575
94.3	0.006	-0.002	21.575
94.4	0.006	-0.002	21.732
94.5	0.005	-0.002	21.732
94.7	0.005	0.005	21.732
94.8	0.007	0.005	21.732
95.0	0.009	0.005	21.732
95.1	0.012	0.005	21.732
95.2	0.013	-0.010	21.732
95.4	0.010	-0.010	21.890
95.5	0.007	-0.002	21.890
95.6	0.004	-0.002	21.890
95.8	0.004	-0.002	21.890
95.9	0.007	0.005	21.890
96.0	0.010	-0.002	22.047
96.2	0.014	-0.010	22.047
96.3	0.021	0.013	22.047
96.5	0.032	0.029	22.047
96.6	0.049	0.005	22.047
96.7	0.070	-0.058	22.047
96.9	0.089	-0.081	22.205
97.0	0.100	-0.018	22.205
97.1	0.103	0.076	22.205
97.3	0.102	0.100	22.205
97.4	0.106	0.068	22.205
97.5	0.123	0.005	22.362
97.7	0.157	-0.097	22.362
97.8	0.206	-0.207	22.362
98.0	0.268	-0.199	22.362
98.1	0.335	0.013	22.362
98.2	0.402	0.336	22.362
98.4	0.465	0.431	22.362
98.5	0.519	0.084	22.520
98.6	0.559	-0.412	22.520
98.8	0.582	-0.562	22.520
98.9	0.588	-0.191	22.520
99.0	0.581	0.360	22.520
99.2	0.566	0.564	22.677
99.3	0.546	0.249	22.677
99.5	0.522	-0.262	22.677
99.6	0.492	-0.491	22.835
99.7	0.457	-0.262	22.677
99.9	0.416	0.163	22.677
100.0	0.373	0.368	22.835
100.1	0.332	0.218	22.835
100.3	0.295	-0.081	22.835
100.4	0.263	-0.254	22.835
100.5	0.232	-0.176	22.835
100.7	0.201	0.021	22.992
100.8	0.171	0.147	22.992
101.0	0.143	0.131	22.992
101.1	0.118	0.029	22.992
101.2	0.097	-0.058	23.150
101.4	0.079	-0.081	23.150
101.5	0.065	-0.050	23.150
101.6	0.057	-0.002	23.150
101.8	0.057	0.021	23.150
101.9	0.063	0.061	23.150
102.0	0.071	0.061	23.307
102.2	0.079	-0.018	23.307
102.3	0.083	-0.073	23.307
102.5	0.084	-0.065	23.307
102.6	0.083	0.013	23.307
102.7	0.081	0.076	23.307
102.9	0.078	0.061	23.465
103.0	0.074	-0.018	23.465
103.1	0.067	-0.065	23.465
103.3	0.059	-0.034	23.465
103.4	0.051	0.021	23.465
103.5	0.043	0.045	23.465
103.7	0.038	0.021	23.622
103.8	0.035	-0.010	23.622
104.0	0.033	-0.034	23.622
104.1	0.032	-0.018	23.780
104.2	0.031	0.013	23.780
104.4	0.030	0.029	23.622
104.5	0.029	0.005	23.780
104.6	0.030	-0.026	23.780
104.8	0.032	-0.026	23.780
104.9	0.036	0.005	23.780
105.0	0.043	0.037	23.780
105.2	0.048	0.037	23.780
105.3	0.051	-0.018	23.937
105.5	0.050	-0.050	23.937
105.6	0.046	-0.026	23.937
105.7	0.042	0.005	23.937
105.9	0.040	0.037	24.094
106.0	0.040	0.037	24.094
106.1	0.042	0.005	24.094
106.3	0.044	-0.034	24.094
106.4	0.045	-0.042	24.094
106.5	0.043	-0.002	24.094
106.7	0.042	0.029	24.252
106.8	0.040	0.037	24.252
107.0	0.040	0.029	24.252
107.1	0.040	-0.010	24.252
107.2	0.039	-0.034	24.252
107.4	0.038	-0.034	24.409
107.5	0.036	-0.002	24.409
107.6	0.032	0.021	24.409
107.8	0.027	0.029	24.409
107.9	0.023	-0.002	24.409
108.0	0.021	-0.018	24.409
108.2	0.021	-0.010	24.409
108.3	0.024	0.013	24.567
108.5	0.029	0.029	24.567
108.6	0.034	0.005	24.567
108.7	0.040	-0.034	24.567
108.9	0.044	-0.034	24.724
109.0	0.047	-0.002	24.724
109.1	0.049	0.045	24.724
109.3	0.050	0.045	24.724
109.4	0.050	0.005	24.724
109.5	0.048	-0.034	24.724
109.7	0.044	-0.042	24.882
109.8	0.037	-0.010	24.882
110.0	0.029	0.021	24.882
110.1	0.021	0.021	24.882
110.2	0.015	0.005	24.882
110.4	0.012	-0.002	24.882
110.5	0.011	-0.010	25.039
110.6	0.011	-0.002	25.039
110.8	0.010	0.005	25.039
110.9	0.008	-0.002	25.039
111.0	0.006	-0.002	25.039
111.2	0.005	-0.002	25.197
111.3	0.006	-0.002	25.197
111.5	0.009	-0.002	25.197
111.6	0.012	-0.010	25.197
111.7	0.016	-0.002	25.197
111.9	0.020	0.013	25.354
112.0	0.024	0.021	25.354
112.1	0.029	0.013	25.354
112.3	0.033	-0.018	25.512
112.4	0.034	-0.034	25.512
112.6	0.033	-0.018	25.512
112.7	0.030	0.013	25.512
112.8	0.027	0.021	25.512
113.0	0.024	0.021	25.512
113.1	0.021	-0.002	25.512
113.2	0.018	-0.018	25.512
113.4	0.015	-0.002	25.512
113.5	0.013	-0.002	25.669
113.6	0.013	-0.010	25.669
113.8	0.015	-0.018	25.669
113.9	0.019	-0.002	25.827
114.1	0.022	0.005	25.827
114.2	0.025	0.021	25.669
114.3	0.028	0.021	25.827
114.5	0.033	-0.010	25.827
114.6	0.040	-0.034	25.827
114.7	0.047	-0.042	25.827
