#	Temperatur 7 (°C)	Temperatur 8 (°C)	Zeit (s)
185	48.03	38.43	368.0000
186	47.78	38.46	370.0000
187	47.55	38.49	372.0000
188	47.32	38.51	374.0000
189	47.10	38.53	376.0000
190	46.90	38.54	378.0000
191	46.70	38.55	380.0000
192	46.51	38.57	382.0000
193	46.32	38.58	384.0000
194	46.15	38.58	386.0000
195	45.98	38.58	388.0000
196	45.81	38.58	390.0000
197	45.66	38.59	392.0000
198	45.51	38.58	394.0000
199	45.37	38.57	396.0000
200	45.23	38.57	398.0000
201	45.10	38.56	400.0000
202	44.98	38.55	402.0000
203	44.86	38.55	404.0000
204	44.76	38.54	406.0000
205	44.72	38.52	408.0000
206	44.77	38.51	410.0000
207	44.90	38.50	412.0000
208	45.11	38.49	414.0000
209	45.41	38.47	416.0000
210	45.77	38.46	418.0000
211	46.18	38.45	420.0000
212	46.63	38.43	422.0000
213	47.11	38.42	424.0000
214	47.61	38.41	426.0000
215	48.14	38.39	428.0000
216	48.66	38.38	430.0000
217	49.20	38.38	432.0000
218	49.74	38.38	434.0000
219	50.27	38.38	436.0000
220	50.80	38.38	438.0000
221	51.32	38.38	440.0000
222	51.83	38.40	442.0000
223	52.32	38.41	444.0000
224	52.80	38.43	446.0000
225	53.27	38.45	448.0000
226	53.74	38.48	450.0000
227	54.18	38.51	452.0000
228	54.61	38.54	454.0000
229	55.03	38.58	456.0000
230	55.43	38.63	458.0000
231	55.82	38.67	460.0000
232	56.20	38.72	462.0000
233	56.56	38.78	464.0000
234	56.91	38.83	466.0000
235	57.25	38.90	468.0000
236	57.58	38.96	470.0000
237	57.89	39.03	472.0000
238	58.19	39.10	474.0000
239	58.49	39.17	476.0000
240	58.77	39.25	478.0000
241	59.04	39.33	480.0000
242	59.30	39.41	482.0000
243	59.55	39.49	484.0000
244	59.80	39.57	486.0000
245	60.03	39.66	488.0000
246	60.27	39.76	490.0000
247	60.35	39.78	492.0000
248	60.54	39.86	494.0000
249	60.79	39.98	496.0000
250	61.02	40.09	498.0000
251	61.24	40.19	500.0000
252	61.43	40.29	502.0000
