#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
153	47.67	50.68	53.85	52.92
154	47.61	50.22	53.51	52.35
155	47.54	49.78	53.16	51.83
156	47.45	49.37	52.81	51.34
157	47.36	48.99	52.46	50.88
158	47.25	48.63	52.10	50.44
159	47.15	48.30	51.75	50.04
160	47.03	47.99	51.41	49.66
161	46.91	47.69	51.07	49.30
162	46.80	47.42	50.73	49.06
163	46.67	47.36	50.43	49.49
164	46.56	47.62	50.24	50.45
165	46.46	48.12	50.21	51.63
166	46.40	48.76	50.32	52.83
167	46.38	49.48	50.55	54.00
168	46.40	50.22	50.88	55.08
169	46.47	50.97	51.24	56.07
170	46.58	51.69	51.66	57.00
171	46.72	52.37	52.10	57.84
172	46.89	53.04	52.56	58.62
173	47.09	53.67	53.02	59.34
174	47.30	54.26	53.50	60.02
175	47.53	54.83	53.98	60.64
176	47.76	55.37	54.45	61.23
177	48.00	55.88	54.92	61.77
178	48.25	56.36	55.39	62.29
179	48.51	56.82	55.85	62.78
180	48.77	57.25	56.31	63.25
181	49.03	57.67	56.76	63.69
182	49.29	58.04	57.20	64.02
183	49.56	58.23	57.60	63.74
184	49.81	58.11	57.90	62.98
185	50.05	57.77	58.06	62.00
186	50.25	57.29	58.08	60.98
187	50.41	56.73	57.99	59.98
188	50.52	56.16	57.81	59.06
189	50.59	55.56	57.58	58.19
190	50.62	54.99	57.30	57.40
191	50.63	54.44	56.99	56.66
192	50.59	53.91	56.67	55.99
193	50.54	53.42	56.32	55.37
194	50.47	52.95	55.97	54.79
195	50.38	52.51	55.61	54.25
196	50.28	52.09	55.26	53.76
197	50.18	51.70	54.89	53.30
198	50.06	51.34	54.53	52.86
199	49.94	50.99	54.17	52.45
200	49.82	50.66	53.82	52.06
201	49.69	50.36	53.48	51.70
202	49.55	50.10	53.13	51.49
203	49.42	50.06	52.83	51.98
204	49.29	50.33	52.64	52.96
205	49.19	50.84	52.61	54.13
206	49.12	51.48	52.74	55.33
207	49.08	52.19	52.96	56.45
208	49.10	52.91	53.27	57.51
209	49.16	53.64	53.64	58.49
210	49.26	54.34	54.04	59.39
211	49.40	55.03	54.47	60.22
212	49.56	55.67	54.92	60.98
213	49.75	56.29	55.39	61.68
214	49.95	56.87	55.84	62.34
215	50.16	57.42	56.31	62.95
216	50.39	57.95	56.77	63.52
217	50.62	58.44	57.23	64.06
218	50.86	58.91	57.68	64.56
219	51.10	59.35	58.14	65.04
220	51.35	59.78	58.58	65.49
221	51.60	60.17	59.02	65.93
222	51.85	60.54	59.45	66.25
223	52.09	60.72	59.85	65.99
224	52.34	60.60	60.15	65.23
225	52.57	60.26	60.30	64.26
226	52.76	59.77	60.31	63.24
227	52.91	59.21	60.22	62.24
228	53.02	58.62	60.04	61.30
229	53.08	58.02	59.80	60.43
230	53.10	57.44	59.51	59.63
231	53.09	56.87	59.21	58.89
232	53.05	56.34	58.87	58.21
233	52.99	55.83	58.52	57.58
234	52.90	55.35	58.16	57.00
235	52.81	54.90	57.80	56.46
236	52.70	54.47	57.43	55.96
237	52.58	54.07	57.07	55.48
238	52.46	53.69	56.70	55.04
239	52.32	53.34	56.34	54.62
240	52.19	53.00	55.98	54.22
241	52.05	52.69	55.62	53.84
242	51.91	52.41	55.28	53.61
243	51.77	52.34	54.96	54.04
244	51.63	52.60	54.75	55.00
245	51.51	53.08	54.71	56.14
246	51.43	53.70	54.81	57.32
247	51.39	54.39	55.03	58.44
248	51.40	55.11	55.32	59.49
249	51.45	55.83	55.67	60.46
