#Z�hlrohrwinkel	Rate bei 35kV mit Sr
#2*theta/�	R(35kV)/Imp/s
19.0	51.0
19.2	52.0
19.4	48.0
19.6	48.0
19.8	47.0
20.0	47.0
20.2	46.0
20.4	45.0
20.6	43.0
20.8	42.0
21.0	47.0
21.2	51.0
21.4	75.0
21.6	111.0
21.7	131.0
22.0	160.0
22.2	192.0
22.4	189.0
22.6	187.0
22.8	182.0
23.0	174.0
23.2	170.0
23.4	163.0
23.6	157.0
23.8	159.0
24.0	157.0
24.2	158.0
24.4	152.0
24.6	146.0
24.8	144.0
25.0	143.0
