#Z�hlrohrwinkel	Rate bei 35kV mit Zr
#2*theta/�	R(35kV)/Imp/s
33.0	72.0
33.2	71.0
33.4	71.0
33.6	71.0
33.8	68.0
34.0	68.0
34.2	67.0
34.4	67.0
34.5	65.0
34.8	60.0
35.0	64.0
35.2	59.0
35.4	60.0
35.5	61.0
35.8	55.0
36.0	58.0
36.2	57.0
36.4	55.0
36.5	60.0
36.8	74.0
37.0	81.0
37.2	99.0
37.4	103.0
37.5	106.0
37.8	105.0
38.0	101.0
38.2	98.0
38.4	97.0
38.6	98.0
38.8	96.0
39.0	96.0
