#Z�hlrohrwinkel	Rate bei 35kV mit Br
#2*theta/�	R(35kV)/Imp/s
23.0	22.0
23.2	22.0
23.4	22.0
23.6	22.0
23.8	20.0
24.0	21.0
24.2	22.0
24.4	21.0
24.6	19.0
24.8	19.0
25.0	20.0
25.2	19.0
25.4	20.0
25.6	21.0
25.8	25.0
26.0	34.0
26.2	41.0
26.4	49.0
26.6	54.0
26.8	55.0
27.0	51.0
27.2	47.0
27.4	48.0
27.6	45.0
27.8	44.0
28.0	40.0
28.2	41.0
28.4	39.0
28.6	36.0
28.8	37.0
29.0	34.0
